activity_id,assay_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,standard_relation,published_value,published_units,published_relation,pchembl_value,activity_comment,data_validity_comment,confidence_score,ligand_efficiency,document_chembl_id,record_id,target_chembl_id
1779720,CHEMBL908895,CHEMBL215112,EC50,316.23,nM,=,,,,6.50,,,,,CHEMBL1137338,593648,CHEMBL2095198
1779721,CHEMBL908895,CHEMBL217810,EC50,2.754,nM,=,,,,8.56,,,,,CHEMBL1137338,593647,CHEMBL2095198
1779722,CHEMBL908895,CHEMBL3138599,EC50,223.87,nM,=,,,,6.65,,,,,CHEMBL1137338,593646,CHEMBL2095198
1779723,CHEMBL908895,CHEMBL3138600,EC50,56.23,nM,=,,,,7.25,,,,,CHEMBL1137338,593645,CHEMBL2095198
1779724,CHEMBL908895,CHEMBL3138575,EC50,407.38,nM,=,,,,6.39,,,,,CHEMBL1137338,593644,CHEMBL2095198
1779725,CHEMBL908895,CHEMBL3138574,EC50,134.9,nM,=,,,,6.87,,,,,CHEMBL1137338,593643,CHEMBL2095198
1779726,CHEMBL908895,CHEMBL384078,EC50,102.33,nM,=,,,,6.99,,,,,CHEMBL1137338,593642,CHEMBL2095198
1779727,CHEMBL908895,CHEMBL215027,EC50,154.88,nM,=,,,,6.81,,,,,CHEMBL1137338,593641,CHEMBL2095198
1779728,CHEMBL908895,CHEMBL214928,EC50,5011.87,nM,=,,,,5.30,,,,,CHEMBL1137338,593640,CHEMBL2095198
1779729,CHEMBL908895,CHEMBL214669,EC50,323.59,nM,=,,,,6.49,,,,,CHEMBL1137338,593639,CHEMBL2095198
1779730,CHEMBL908895,CHEMBL424726,EC50,72.44,nM,=,,,,7.14,,,,,CHEMBL1137338,593638,CHEMBL2095198
1779731,CHEMBL908895,CHEMBL217847,EC50,6.026,nM,=,,,,8.22,,,,,CHEMBL1137338,593637,CHEMBL2095198
1779732,CHEMBL908895,CHEMBL408199,EC50,251.19,nM,=,,,,6.60,,,,,CHEMBL1137338,593636,CHEMBL2095198
